service_id,date,exception_type
3,20120919,1
3,20120920,1
3,20120921,1
3,20120924,1
3,20120925,1
3,20120926,1
3,20120927,1
3,20120928,1
3,20121001,1
3,20121002,1
3,20121003,1
3,20121004,1
3,20121005,1
3,20121008,1
3,20121009,1
3,20121010,1
3,20121011,1
3,20121012,1
3,20121015,1
3,20121016,1
3,20121017,1
3,20121018,1
3,20121019,1
4,20120427,1
4,20120504,1
4,20120511,1
4,20120518,1
4,20120525,1
4,20120601,1
4,20120608,1
4,20120615,1
4,20120622,1
4,20120629,1
4,20120706,1
4,20120713,1
4,20120720,1
4,20120727,1
4,20120803,1
4,20120810,1
4,20120817,1
4,20120824,1
4,20120831,1
4,20120907,1
4,20120914,1
4,20120921,1
4,20120928,1
4,20121005,1
4,20121012,1
4,20121019,1
5,20120423,1
5,20120424,1
5,20120425,1
5,20120426,1
5,20120430,1
5,20120501,1
5,20120502,1
5,20120503,1
5,20120507,1
5,20120508,1
5,20120509,1
5,20120510,1
5,20120514,1
5,20120515,1
5,20120516,1
5,20120517,1
5,20120521,1
5,20120522,1
5,20120523,1
5,20120524,1
5,20120528,1
5,20120529,1
5,20120530,1
5,20120531,1
5,20120604,1
5,20120605,1
5,20120606,1
5,20120607,1
5,20120611,1
5,20120612,1
5,20120613,1
5,20120614,1
5,20120618,1
5,20120619,1
5,20120620,1
5,20120621,1
5,20120625,1
5,20120626,1
5,20120627,1
5,20120628,1
5,20120702,1
5,20120703,1
5,20120704,1
5,20120705,1
5,20120709,1
5,20120710,1
5,20120711,1
5,20120712,1
5,20120716,1
5,20120717,1
5,20120718,1
5,20120719,1
5,20120723,1
5,20120724,1
5,20120725,1
5,20120726,1
5,20120730,1
5,20120731,1
5,20120801,1
5,20120802,1
5,20120806,1
5,20120807,1
5,20120808,1
5,20120809,1
5,20120813,1
5,20120814,1
5,20120815,1
5,20120816,1
5,20120820,1
5,20120821,1
5,20120822,1
5,20120823,1
5,20120827,1
5,20120828,1
5,20120829,1
5,20120830,1
5,20120903,1
5,20120904,1
5,20120905,1
5,20120906,1
5,20120910,1
5,20120911,1
5,20120912,1
5,20120913,1
5,20120917,1
5,20120918,1
5,20120919,1
5,20120920,1
5,20120924,1
5,20120925,1
5,20120926,1
5,20120927,1
5,20121001,1
5,20121002,1
5,20121003,1
5,20121004,1
5,20121008,1
5,20121009,1
5,20121010,1
5,20121011,1
5,20121015,1
5,20121016,1
5,20121017,1
5,20121018,1
6,20120626,1
6,20120627,1
6,20120628,1
6,20120629,1
6,20120702,1
6,20120703,1
6,20120704,1
6,20120705,1
6,20120706,1
6,20120709,1
6,20120710,1
6,20120711,1
6,20120712,1
6,20120713,1
6,20120716,1
6,20120717,1
6,20120718,1
6,20120719,1
6,20120720,1
6,20120723,1
6,20120724,1
6,20120725,1
6,20120726,1
6,20120727,1
6,20120730,1
6,20120731,1
6,20120801,1
6,20120802,1
6,20120803,1
6,20120806,1
6,20120807,1
6,20120808,1
6,20120809,1
6,20120810,1
6,20120813,1
6,20120814,1
6,20120815,1
6,20120816,1
6,20120817,1
6,20120820,1
6,20120821,1
6,20120822,1
6,20120823,1
6,20120824,1
6,20120827,1
6,20120828,1
6,20120829,1
6,20120830,1
6,20120831,1
6,20120903,1
6,20120904,1
6,20120905,1
6,20120906,1
6,20120907,1
6,20120910,1
6,20120911,1
6,20120912,1
6,20120913,1
6,20120914,1
6,20120917,1
6,20120918,1
6,20120919,1
6,20120920,1
6,20120921,1
6,20120924,1
6,20120925,1
6,20120926,1
6,20120927,1
6,20120928,1
6,20121001,1
6,20121002,1
6,20121003,1
6,20121004,1
6,20121005,1
6,20121008,1
6,20121009,1
6,20121010,1
6,20121011,1
6,20121012,1
6,20121015,1
6,20121016,1
6,20121017,1
6,20121018,1
6,20121019,1
