trip_id,start_time,end_time,headway_secs
12J_12J_A_4_41_0.30556,05:30:00,25:30:00,600
12J_12J_A_4_41_0.31250,05:30:00,25:30:00,600
12J_12J_A_4_41_0.31944,05:30:00,25:30:00,600
12J_12J_A_4_41_0.32639,05:30:00,25:30:00,600
12J_12J_A_4_41_0.33333,05:30:00,25:30:00,600
12J_12J_A_4_41_0.34028,05:30:00,25:30:00,600
12J_12J_A_4_41_0.34722,05:30:00,25:30:00,600
12J_12J_A_4_41_0.35417,05:30:00,25:30:00,600
12J_12J_A_4_41_0.36111,05:30:00,25:30:00,600
12J_12J_A_4_41_0.36806,05:30:00,25:30:00,600
12J_12J_A_4_41_0.37500,05:30:00,25:30:00,600
12J_12J_A_4_41_0.38194,05:30:00,25:30:00,600
12J_12J_A_4_41_0.38889,05:30:00,25:30:00,600
12J_12J_A_4_41_0.39583,05:30:00,25:30:00,600
12J_12J_A_4_41_0.40278,05:30:00,25:30:00,600
12J_12J_A_4_41_0.40972,05:30:00,25:30:00,600
12J_12J_A_4_41_0.41667,05:30:00,25:30:00,600
12J_12J_A_4_41_0.42361,05:30:00,25:30:00,600
12J_12J_A_4_41_0.43056,05:30:00,25:30:00,600
12J_12J_A_4_41_0.43750,05:30:00,25:30:00,600
12J_12J_A_4_41_0.44444,05:30:00,25:30:00,600
12J_12J_A_4_41_0.45139,05:30:00,25:30:00,600
12J_12J_A_4_41_0.45833,05:30:00,25:30:00,600
12J_12J_A_4_41_0.46528,05:30:00,25:30:00,600
12J_12J_A_4_41_0.47222,05:30:00,25:30:00,600
12J_12J_A_4_41_0.47917,05:30:00,25:30:00,600
12J_12J_A_4_41_0.48611,05:30:00,25:30:00,600
12J_12J_A_4_41_0.49306,05:30:00,25:30:00,600
12J_12J_A_4_41_0.50000,05:30:00,25:30:00,600
12J_12J_A_4_41_0.50694,05:30:00,25:30:00,600
12J_12J_A_4_41_0.51389,05:30:00,25:30:00,600
12J_12J_A_4_41_0.52083,05:30:00,25:30:00,600
12J_12J_A_4_41_0.52778,05:30:00,25:30:00,600
12J_12J_A_4_41_0.53472,05:30:00,25:30:00,600
12J_12J_A_4_41_0.54167,05:30:00,25:30:00,600
12J_12J_A_4_41_0.54861,05:30:00,25:30:00,600
12J_12J_A_4_41_0.55556,05:30:00,25:30:00,600
12J_12J_A_4_41_0.56250,05:30:00,25:30:00,600
12J_12J_A_4_41_0.56944,05:30:00,25:30:00,600
12J_12J_A_4_41_0.57639,05:30:00,25:30:00,600
12J_12J_A_4_41_0.58333,05:30:00,25:30:00,600
12J_12J_A_4_41_0.59028,05:30:00,25:30:00,600
12J_12J_A_4_41_0.59722,05:30:00,25:30:00,600
12J_12J_A_4_41_0.60417,05:30:00,25:30:00,600
12J_12J_A_4_41_0.61111,05:30:00,25:30:00,600
12J_12J_A_4_41_0.61806,05:30:00,25:30:00,600
12J_12J_A_4_41_0.62500,05:30:00,25:30:00,600
12J_12J_A_4_41_0.63194,05:30:00,25:30:00,600
12J_12J_A_4_41_0.63889,05:30:00,25:30:00,600
12J_12J_A_4_41_0.64583,05:30:00,25:30:00,600
12J_12J_A_4_41_0.65278,05:30:00,25:30:00,600
12J_12J_A_4_41_0.65972,05:30:00,25:30:00,600
12J_12J_A_4_41_0.66667,05:30:00,25:30:00,600
12J_12J_A_4_41_0.67361,05:30:00,25:30:00,600
12J_12J_A_4_41_0.68056,05:30:00,25:30:00,600
12J_12J_A_4_41_0.68750,05:30:00,25:30:00,600
12J_12J_A_4_41_0.69444,05:30:00,25:30:00,600
12J_12J_A_4_41_0.70139,05:30:00,25:30:00,600
12J_12J_A_4_41_0.70833,05:30:00,25:30:00,600
12J_12J_A_4_41_0.71528,05:30:00,25:30:00,600
12J_12J_A_4_41_0.72222,05:30:00,25:30:00,600
12J_12J_A_4_41_0.72917,05:30:00,25:30:00,600
12J_12J_A_4_41_0.73611,05:30:00,25:30:00,600
12J_12J_A_4_41_0.74306,05:30:00,25:30:00,600
12J_12J_A_4_41_0.75000,05:30:00,25:30:00,600
12J_12J_A_4_41_0.75694,05:30:00,25:30:00,600
12J_12J_A_4_41_0.76389,05:30:00,25:30:00,600
12J_12J_A_4_41_0.77083,05:30:00,25:30:00,600
12J_12J_A_4_41_0.77778,05:30:00,25:30:00,600
12J_12J_A_4_41_0.78472,05:30:00,25:30:00,600
12J_12J_A_4_41_0.79167,05:30:00,25:30:00,600
12J_12J_A_4_41_0.79861,05:30:00,25:30:00,600
12J_12J_A_4_41_0.80556,05:30:00,25:30:00,600
12J_12J_A_4_41_0.81250,05:30:00,25:30:00,600
12J_12J_A_4_41_0.81944,05:30:00,25:30:00,600
12J_12J_A_4_41_0.82639,05:30:00,25:30:00,600
12J_12J_A_4_41_0.83333,05:30:00,25:30:00,600
12J_12J_A_4_41_0.84028,05:30:00,25:30:00,600
12J_12J_A_4_41_0.84722,05:30:00,25:30:00,600
12J_12J_A_4_41_0.85417,05:30:00,25:30:00,600
12J_12J_A_4_41_0.86111,05:30:00,25:30:00,600
12J_12J_A_4_41_0.86806,05:30:00,25:30:00,600
12J_12J_A_4_41_0.87500,05:30:00,25:30:00,600
12J_12J_A_4_41_0.88194,05:30:00,25:30:00,600
12J_12J_A_4_41_0.88889,05:30:00,25:30:00,600
12J_12J_A_4_41_0.89583,05:30:00,25:30:00,600
12J_12J_A_4_41_0.90278,05:30:00,25:30:00,600
12J_12J_A_4_41_0.90972,05:30:00,25:30:00,600
12J_12J_A_4_41_0.91667,05:30:00,25:30:00,600
12J_12J_A_4_41_0.92361,05:30:00,25:30:00,600
12J_12J_A_4_41_0.93056,05:30:00,25:30:00,600
12J_12J_A_4_41_0.93750,05:30:00,25:30:00,600
12J_12J_A_4_41_0.94444,05:30:00,25:30:00,600
12J_12J_A_4_41_0.95139,05:30:00,25:30:00,600
12J_12J_A_4_41_0.95833,05:30:00,25:30:00,600
