stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3101084,57707,Lakeview / Lakeshore,45.441289,-73.803665,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57707
3101111,57710,Broadview / Braebrook,45.461675,-73.801432,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57710
3101132,57714,Bord-du-Lac / Lakeside,45.443848,-73.801413,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57714
3101163,57717,Delmar / Braebrook,45.462968,-73.799644,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57717
3101207,57724,Bord-du-Lac / Water's Edge,45.446637,-73.798701,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57724
3101229,57727,Broadview / No 105,45.456260,-73.797806,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57727
3101241,57729,Broadview / Belmont,45.452508,-73.796279,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57729
3101243,57730,Broadview / Belmont,45.452760,-73.796577,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57730
3101262,57734,Bord-du-Lac / Broadview,45.447998,-73.794620,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57734
3101272,57736,Belmont / de la Baie-de-Valois,45.454126,-73.792695,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57736
3101312,57743,Bord-du-Lac / de la Baie-de-Valois,45.448370,-73.790893,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57743
3101347,57749,Bord-du-Lac / Milroy,45.448265,-73.789214,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57749
3101373,57754,Donegani / de la Baie-de-Valois,45.450004,-73.792173,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57754
3101383,57755,des Sources / Saint-Louis,45.464777,-73.785811,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57755
3101390,57757,Bord-du-Lac / No 24,45.447953,-73.785998,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57757
3101421,57759,des Sources / Belmont,45.456863,-73.782119,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57759
3101431,57761,des Sources / Chanteclerc,45.454335,-73.782036,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57761
3101480,57767,Revcon / Place Frontenac,45.468859,-73.828697,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57767
3101538,57769,Cartier / Salisbury,45.438943,-73.827235,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57769
3101639,57777,Brunswick / Hewitt,45.474118,-73.816522,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57777
3101679,57779,Donegani / des Sources,45.450188,-73.781193,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57779
3101681,57780,Transcanadienne / Stillview,45.456649,-73.839622,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57780
3101756,57783,des Sources / de l'Aviation,45.469833,-73.790101,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57783
3101789,57785,Cartier / No 117,45.434581,-73.825318,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57785
3101990,57791,des Sources / No 1733,45.462072,-73.783187,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57791
3102144,57794,Terminus Fairview,45.465782,-73.831468,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57794
3102255,57803,Bord-du-Lac / Sainte-Anne,45.428945,-73.825781,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57803
3102292,57805,Hastings / Dieppe,45.457005,-73.809761,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57805
3102679,57810,Transcanadienne / No 5701,45.468963,-73.816817,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57810
3200061,57834,Saint-Jean / de Salaberry,45.473284,-73.834710,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57834
3200092,57836,De Salaberry / Devon,45.469962,-73.841579,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57836
3200211,57843,Sommerset / Shakespeare,45.473511,-73.856321,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57843
3200218,57844,Sommerset / Shakespeare,45.473269,-73.856357,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57844
3200223,57846,Sommerset / Garland,45.471993,-73.855040,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57846
3200231,57847,Sommerset / Chapleau,45.469493,-73.852368,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57847
3200243,57850,Sommerset / Argyle,45.467646,-73.850771,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57850
3200301,57854,Saint-Jean / Lake,45.476660,-73.838135,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57854
3200373,57858,Saint-Jean / Devon,45.470695,-73.832639,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57858
3200383,57860,Hemingway / Greenfield,45.482989,-73.832569,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57860
3200413,57864,Blue Haven / Viking,45.478040,-73.831232,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57864
3200464,57872,Blue Haven / Jourdain,45.475141,-73.829289,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57872
3200477,57874,Roger-Pilon / Fredmir,45.488726,-73.827702,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57874
3200491,57877,Westpark / Anselme-Lavigne,45.498490,-73.824612,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57877
3200492,57878,Anselme-Lavigne / Westpark,45.498944,-73.824467,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57878
3201657,61150,Hyman / Sunshine,45.491146,-73.800529,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=61150
3200512,57882,Anselme-Lavigne / Oslo,45.500382,-73.822197,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57882
3200521,57884,Westpark / Wilson,45.495796,-73.821241,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57884
3200573,57891,Tecumseh / Thornhill,45.479353,-73.816802,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57891
3200593,57894,des Sources / Anselme-Lavigne,45.502474,-73.815994,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57894
3200602,57897,de Salaberry / Montevista,45.482781,-73.813482,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57897
3200634,57902,Brunswick / Tecumseh,45.475515,-73.813292,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57902
3200644,57903,De Salaberry / Hôtel-De-Ville,45.482362,-73.810064,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57903
