shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12M-67-JO-N,45.57171,-73.627213,29
12M-41-01-O,45.57171,-73.627213,34
12M-357-01-S,45.571637,-73.62768,11
12M-67-JO-S,45.571637,-73.62768,13
12M-41-01-E,45.571637,-73.62768,27
12M-129-SO-N,45.496518,-73.629508,40
12M-129-JO-N,45.496518,-73.629508,39
12M-193-01-O,45.544994,-73.627726,42
12M-193-01-E,45.544751,-73.627628,13
12M-365-01-S,45.52466,-73.62798,37
12M-371-01-S,45.483544,-73.629505,51
12M-17-01-S,45.483544,-73.629505,28
12M-102-01-E,45.478259,-73.628796,19
12M-138-01-O,45.463532,-73.628232,33
12M-104-01-O,45.463532,-73.628232,28
12M-138-01-O,45.463956,-73.629242,34
12M-104-01-O,45.463956,-73.629242,29
12M-355-01-S,45.581333,-73.625308,15
12M-139-JO-S,45.581333,-73.625308,15
12M-41-01-O,45.581333,-73.625308,7
12M-63-01-S,45.480989,-73.628554,6
12M-193-01-O,45.546554,-73.626385,41
12M-129-SO-S,45.498467,-73.62756,10
12M-129-JO-S,45.498467,-73.62756,14
12M-166-PM-S,45.485101,-73.627765,11
12M-166-L2-S,45.485101,-73.627765,11
12M-166-JO-S,45.485101,-73.627765,11
12M-51-JO-E,45.485101,-73.627765,25
12M-361-01-S,45.541682,-73.62628,19
12M-31-01-S,45.541682,-73.62628,20
12M-160-01-O,45.512394,-73.626799,28
12M-368-01-O,45.489761,-73.627154,62
12M-124-01-N,45.489761,-73.627154,23
12M-435-JO-O,45.527933,-73.626189,9
12M-179-01-S,45.527933,-73.626189,28
12M-80-01-S,45.527933,-73.626189,9
12M-372-SO-E,45.524013,-73.625832,20
12M-372-LC-E,45.524013,-73.625832,20
12M-179-01-N,45.524013,-73.625832,7
12M-92-JO-E,45.524013,-73.625832,25
12M-66-PM-N,45.479165,-73.62653,30
12M-66-JO-N,45.479165,-73.62653,27
12M-371-01-N,45.482721,-73.626356,30
12M-17-01-N,45.482721,-73.626356,21
12M-420-AM-E,45.464783,-73.626775,10
12M-356-SO-E,45.464783,-73.626775,98
12M-138-01-E,45.464783,-73.626775,25
12M-105-LC-E,45.464783,-73.626775,1
12M-105-01-E,45.464783,-73.626775,11
12M-370-01-E,45.507681,-73.625547,33
12M-161-01-E,45.507681,-73.625547,32
12M-372-SO-E,45.525619,-73.624946,21
12M-372-LC-E,45.525619,-73.624946,21
12M-365-01-S,45.525619,-73.624946,39
12M-179-01-N,45.525619,-73.624946,8
12M-92-JO-E,45.525619,-73.624946,26
12M-129-SO-N,45.500921,-73.625691,37
12M-129-JO-N,45.500921,-73.625691,36
12M-102-01-O,45.478847,-73.625769,12
12M-162-01-O,45.472042,-73.626109,6
12M-103-JO-O,45.472042,-73.626109,7
12M-103-AC-O,45.472042,-73.626109,7
12M-162-01-E,45.471726,-73.626223,35
12M-103-JO-E,45.471726,-73.626223,17
12M-355-01-N,45.580473,-73.622531,123
12M-139-JO-N,45.580473,-73.622531,36
12M-41-01-E,45.580473,-73.622531,56
12M-192-JO-E,45.553386,-73.623489,9
12M-359-01-N,45.555127,-73.622525,30
12M-45-01-N,45.555127,-73.622525,30
12M-355-01-S,45.579832,-73.621836,16
12M-139-JO-S,45.579832,-73.621836,16
12M-41-01-O,45.579832,-73.621836,8
12M-124-01-N,45.488692,-73.624617,21
12M-166-PM-S,45.488493,-73.624731,13
12M-166-L2-S,45.488493,-73.624731,13
12M-166-JO-S,45.488493,-73.624731,13
12M-51-JO-E,45.488493,-73.624731,27
12M-162-01-E,45.473156,-73.624938,36
12M-103-JO-E,45.473156,-73.624938,18
12M-370-01-E,45.509623,-73.624008,34
12M-161-01-E,45.509623,-73.624008,33
12M-361-01-N,45.540871,-73.622768,40
12M-31-01-N,45.540871,-73.622768,9
12M-193-01-O,45.549467,-73.622729,38
12M-372-SO-E,45.529519,-73.622574,24
12M-372-LC-E,45.529519,-73.622574,24
12M-365-01-S,45.529519,-73.622574,42
12M-93-01-E,45.529519,-73.622574,2
